alpha,tau,mean_delta,median_delta,std_delta,K,m,N,lam,gamma,seed,slope_mean_delta_vs_alpha,corr_mean_delta_vs_alpha
0.0,1,0.02005746998911141,0.019681404933704818,0.0067642039638683695,6,10,60,0.2,0.7,0,,
0.1,1,0.01924650065601587,0.01862652653384223,0.006715262265179649,6,10,60,0.2,0.7,0,,
0.2,1,0.01757052460534498,0.017143838883235736,0.005859838052905945,6,10,60,0.2,0.7,0,,
0.3,1,0.016450979582964882,0.015413198410041892,0.005596601376618595,6,10,60,0.2,0.7,0,,
0.4,1,0.014464737780872976,0.014806766267104296,0.0049050466743128865,6,10,60,0.2,0.7,0,,
0.5,1,0.013340553325410053,0.012723034475010577,0.00464054007240773,6,10,60,0.2,0.7,0,,
0.6,1,0.010909300358928382,0.010498399939472974,0.0038954145908876346,6,10,60,0.2,0.7,0,,
0.7,1,0.009508604870193034,0.009153813342447477,0.0032539416811813546,6,10,60,0.2,0.7,0,,
0.8,1,0.00730081176890712,0.006958444366452609,0.00265711972714913,6,10,60,0.2,0.7,0,,
0.9,1,0.00534443802967125,0.005195721381788407,0.0018872006491924829,6,10,60,0.2,0.7,0,,
1.0,1,0.003326666531205528,0.0031354088138468086,0.0011659132188333592,6,10,60,0.2,0.7,0,,
all,1,,,,6,10,60,0.2,0.7,0,-0.017046508468337232,-0.9957437592163808
0.0,2,0.03183674730714093,0.030738321851783074,0.010023703648944782,6,10,60,0.2,0.7,0,,
0.1,2,0.030165998673514362,0.029483031683484828,0.010240107108224272,6,10,60,0.2,0.7,0,,
0.2,2,0.02820233683719105,0.02690329710598601,0.009379339124038903,6,10,60,0.2,0.7,0,,
0.3,2,0.026167726126614395,0.02609557920902845,0.008742001645196715,6,10,60,0.2,0.7,0,,
0.4,2,0.024439782053022826,0.02302544821820915,0.00827294983930884,6,10,60,0.2,0.7,0,,
0.5,2,0.02234025889751229,0.02178300669500876,0.007558693427590441,6,10,60,0.2,0.7,0,,
0.6,2,0.01942129942509019,0.01868322245918334,0.006888662579661278,6,10,60,0.2,0.7,0,,
0.7,2,0.016403173591961025,0.015933617406930122,0.005601601705166829,6,10,60,0.2,0.7,0,,
0.8,2,0.013471476169318439,0.012704507620712173,0.004865171823248928,6,10,60,0.2,0.7,0,,
0.9,2,0.009880378772933173,0.009277716344588502,0.003587271769092424,6,10,60,0.2,0.7,0,,
1.0,2,0.006591120867030793,0.006342054669019697,0.002330843457808376,6,10,60,0.2,0.7,0,,
all,2,,,,6,10,60,0.2,0.7,0,-0.025100980136702943,-0.9916200910558354
0.0,5,0.04004391104410699,0.037805736906565926,0.016944593586075092,6,10,60,0.2,0.7,0,,
0.1,5,0.03910135300456145,0.036557926841881666,0.01659160769742985,6,10,60,0.2,0.7,0,,
0.2,5,0.03801125293763443,0.03631317717415776,0.015323800475874219,6,10,60,0.2,0.7,0,,
0.3,5,0.038400677950088426,0.03773170911082987,0.01315165045612973,6,10,60,0.2,0.7,0,,
0.4,5,0.0359080855409006,0.03483911771768023,0.012411118185568462,6,10,60,0.2,0.7,0,,
0.5,5,0.033254038196899406,0.03188569711719209,0.010945158482100372,6,10,60,0.2,0.7,0,,
0.6,5,0.03173958847260698,0.030965491310346996,0.0104778145566939,6,10,60,0.2,0.7,0,,
0.7,5,0.029528870779309376,0.028592284998061226,0.009841584432713855,6,10,60,0.2,0.7,0,,
0.8,5,0.024942762088395912,0.024951632258530476,0.008688747521031631,6,10,60,0.2,0.7,0,,
0.9,5,0.02074004945009845,0.020002912461045595,0.007522997451201464,6,10,60,0.2,0.7,0,,
1.0,5,0.014478778000936844,0.013932318531063949,0.004889081408192067,6,10,60,0.2,0.7,0,,
all,5,,,,6,10,60,0.2,0.7,0,-0.02385349667193358,-0.9484796042945451
0.0,10,0.03862929649096496,0.037015612870622265,0.01928194209226496,6,10,60,0.2,0.7,0,,
0.1,10,0.03882963669135183,0.036261246745127686,0.018891585156182656,6,10,60,0.2,0.7,0,,
0.2,10,0.03650152304309275,0.03249387279603073,0.019483201177099927,6,10,60,0.2,0.7,0,,
0.3,10,0.037566912607739575,0.035590767863746,0.017201961573870064,6,10,60,0.2,0.7,0,,
0.4,10,0.03803411608107035,0.034999825093679646,0.017948962207970445,6,10,60,0.2,0.7,0,,
0.5,10,0.03743149869005341,0.03449914163380576,0.017014112530021604,6,10,60,0.2,0.7,0,,
0.6,10,0.03730226319016515,0.03521321478067686,0.014374150533830413,6,10,60,0.2,0.7,0,,
0.7,10,0.03584669826205091,0.03375054571320932,0.011879982216099797,6,10,60,0.2,0.7,0,,
0.8,10,0.034016797696048956,0.033123901329650735,0.010837056253385309,6,10,60,0.2,0.7,0,,
0.9,10,0.03065573798667548,0.0300681436463062,0.009436796394982483,6,10,60,0.2,0.7,0,,
1.0,10,0.023481606667287287,0.022986200822463707,0.007395166451361703,6,10,60,0.2,0.7,0,,
all,10,,,,6,10,60,0.2,0.7,0,-0.010914591050955222,-0.7911807593654432
